city,station,lng,lat
大同市,云冈宾馆,113.2994,40.0758
大同市,大同大学,113.3444,40.0917
大同市,安家小村,113.2661,40.1269
大同市,教育学院,113.2711,40.0844
大同市,供排水公司,113.2803,40.1114
阳泉市,市中心,113.5753,37.8564
阳泉市,赛鱼,113.4922,37.8792
阳泉市,南庄,113.5922,37.8561
阳泉市,白羊墅,113.6292,37.8531
阳泉市,平坦,113.5689,37.8694
阳泉市,大阳泉,113.5158,37.85
长治市,清华站,113.1097,36.1542
长治市,监测站,113.0972,36.1939
长治市,审计局,113.0886,36.2126
长治市,长治八中,113.0844444,36.1855
长治市,德盛苑,113.1569,36.1912
晋城市,自来水公司,112.85,35.5051
晋城市,白云商贸,112.835,35.4934
晋城市,市环保局,112.8564,35.4883
晋城市,技术学院,112.8664,35.4894
晋城市,泽州一中,112.8252,35.4813
晋城市,白马寺,112.8453,35.546
朔州市,平朔,112.44,39.3514
朔州市,朔唯,112.4549,39.3606
朔州市,区政府,112.4254,39.3179
朔州市,市环保局,112.4078,39.3265
朔州市,市二中,112.4279,39.3673
晋中市,锦纶小区,112.7549,37.7019
晋中市,南都小区,112.7306,37.7111
晋中市,榆次区政府,112.7105,37.7087
晋中市,榆次三中,112.7194444,37.68277778
运城市,运城中学,110.9956,35.0147
运城市,禹都开发区,111.0233,35.0611
运城市,地区技校,110.9678,35.0308
运城市,空港新区,111.0414,35.1147
运城市,外滩首府,111.0522222,35.04388889
忻州市,机引,112.7356,38.4186
忻州市,开发区,112.7383,38.4519
忻州市,会展中心,112.7003,38.4928
临汾市,临钢医院,111.5531,36.0783
临汾市,技工学校,111.5028,36.0714
临汾市,工商学校,111.5169,36.0822
临汾市,市委,111.5025,36.0875
临汾市,尧庙镇,111.4917,36.0417
临汾市,唐尧大酒店(启用161122),111.505,36.10139
吕梁市,环保局,111.1406,37.5211
吕梁市,自来水公司,111.1297,37.5136
吕梁市,马茂庄小学,111.1283333,37.51
广州市,广雅中学,113.235,23.1422
